date,hour,gmv
2017-02-10,9,170864.0
2017-02-10,10,207090.0
2017-02-10,11,238092.0
2017-02-10,12,230718.0
2017-02-10,13,226651.0
2017-02-10,14,187469.0
2017-02-10,15,385787.0
2017-02-10,16,252871.0
2017-02-10,17,239768.0
2017-02-10,18,211798.0
2017-02-10,19,251069.0
2017-02-10,20,219804.0
2017-02-10,21,153800.0
2017-02-10,22,225405.0
2017-02-10,23,260697.0
2017-02-11,0,177695.0
2017-02-11,1,101253.0
2017-02-11,2,29758.0
2017-02-11,3,29959.0
2017-02-11,4,10725.0
2017-02-11,5,15676.0
2017-02-11,6,23987.0
2017-02-11,7,44586.0
2017-02-11,8,124298.0
2017-02-11,9,122120.0
2017-02-11,10,226112.0
2017-02-11,11,197761.0
